horizonte_sem,outer_fold_index,column_name,non_null_train_count,nunique_train_non_null
4,2,hist_caida_hit_mean4_E3_v2_clean,7,3
4,2,hist_caida_hit_mean4_E5_v4_clean,7,3
4,2,hist_caida_hit_mean4_E7_v3_clean,7,2
4,2,hist_dir_acc_mean4_E1_v5_clean,10,4
4,2,hist_dir_acc_mean4_E2_v3_clean,12,3
4,2,hist_dir_acc_mean4_E3_v2_clean,10,5
4,2,hist_dir_acc_mean4_E5_v4_clean,10,4
4,2,hist_dir_acc_mean4_E7_v3_clean,10,5
4,2,hist_loss_local_mean4_E1_v5_clean,10,10
4,2,hist_loss_local_mean4_E2_v3_clean,12,12
4,2,hist_loss_local_mean4_E3_v2_clean,10,10
4,2,hist_loss_local_mean4_E5_v4_clean,10,10
4,2,hist_loss_local_mean4_E7_v3_clean,10,10
4,2,y_current,13,13
4,2,caida_pred_E1_v5_clean,11,2
4,2,caida_pred_E2_v3_clean,13,2
4,2,caida_pred_E3_v2_clean,11,2
4,2,caida_pred_E5_v4_clean,11,2
4,2,caida_pred_E7_v3_clean,11,2
4,2,direccion_pred_E1_v5_clean,11,2
4,2,direccion_pred_E2_v3_clean,13,2
4,2,direccion_pred_E3_v2_clean,11,2
4,2,direccion_pred_E5_v4_clean,11,2
4,2,direccion_pred_E7_v3_clean,11,2
4,2,pred_E1_v5_clean,11,11
4,2,pred_E2_v3_clean,13,13
4,2,pred_E3_v2_clean,11,11
4,2,pred_E5_v4_clean,11,11
4,2,pred_E7_v3_clean,11,11
4,2,pred_disponible_E1_v5_clean,13,2
4,2,pred_disponible_E3_v2_clean,13,2
4,2,pred_disponible_E5_v4_clean,13,2
4,2,pred_disponible_E7_v3_clean,13,2
4,3,cobertura_modelos_fila,14,2
4,3,consenso_direccion,14,2
4,3,desacuerdo_direccion,14,2
4,3,desviacion_predicciones,14,13
4,3,dispersion_direccion,14,3
4,3,max_diff_predicciones,14,13
4,3,max_predicciones,14,14
4,3,mediana_predicciones,14,14
4,3,min_predicciones,14,14
4,3,n_direcciones_distintas,14,2
4,3,n_modelos_disponibles,14,2
4,3,numero_modelos_predicen_caida,14,5
4,3,promedio_predicciones,14,14
4,3,rango_predicciones,14,13
4,3,share_modelos_predicen_caida,14,5
4,3,ctx_abs_delta_1w,14,14
4,3,ctx_delta_1w,14,14
4,3,ctx_delta_2w,14,14
4,3,ctx_mean_delta_4w,14,14
4,3,ctx_negative_delta_ratio_4w,14,2
4,3,ctx_positive_delta_ratio_4w,14,2
4,3,ctx_recent_fall_flag,14,2
4,3,ctx_rolling_mean_4w,14,14
4,3,ctx_rolling_std_4w,14,14
4,3,ctx_sentimiento_medios,14,14
4,3,ctx_trend_vs_ma4,14,14
4,3,ctx_v5_dispersion_neta,14,14
4,3,ctx_v5_promedio_neto,14,14
4,3,ctx_y_lag1,14,14
4,3,ctx_y_lag2,14,14
4,3,ctx_y_lag4,14,14
4,3,hist_abs_error_mean4_E1_v5_clean,11,11
4,3,hist_abs_error_mean4_E2_v3_clean,13,13
4,3,hist_abs_error_mean4_E3_v2_clean,11,11
4,3,hist_abs_error_mean4_E5_v4_clean,11,11
4,3,hist_abs_error_mean4_E7_v3_clean,11,11
4,3,hist_caida_hit_mean4_E1_v5_clean,8,3
4,3,hist_caida_hit_mean4_E3_v2_clean,8,3
4,3,hist_caida_hit_mean4_E5_v4_clean,8,3
4,3,hist_caida_hit_mean4_E7_v3_clean,8,2
4,3,hist_dir_acc_mean4_E1_v5_clean,11,4
4,3,hist_dir_acc_mean4_E2_v3_clean,13,4
4,3,hist_dir_acc_mean4_E3_v2_clean,11,5
4,3,hist_dir_acc_mean4_E5_v4_clean,11,4
4,3,hist_dir_acc_mean4_E7_v3_clean,11,5
4,3,hist_loss_local_mean4_E1_v5_clean,11,11
4,3,hist_loss_local_mean4_E2_v3_clean,13,13
4,3,hist_loss_local_mean4_E3_v2_clean,11,11
4,3,hist_loss_local_mean4_E5_v4_clean,11,11
4,3,hist_loss_local_mean4_E7_v3_clean,11,11
4,3,y_current,14,14
4,3,caida_pred_E1_v5_clean,12,2
4,3,caida_pred_E2_v3_clean,14,2
4,3,caida_pred_E3_v2_clean,12,2
4,3,caida_pred_E5_v4_clean,12,2
4,3,caida_pred_E7_v3_clean,12,2
4,3,direccion_pred_E1_v5_clean,12,2
4,3,direccion_pred_E2_v3_clean,14,2
4,3,direccion_pred_E3_v2_clean,12,2
4,3,direccion_pred_E5_v4_clean,12,2
4,3,direccion_pred_E7_v3_clean,12,2
4,3,pred_E1_v5_clean,12,12
4,3,pred_E2_v3_clean,14,14
4,3,pred_E3_v2_clean,12,12
4,3,pred_E5_v4_clean,12,12
4,3,pred_E7_v3_clean,12,12
4,3,pred_disponible_E1_v5_clean,14,2
4,3,pred_disponible_E3_v2_clean,14,2
4,3,pred_disponible_E5_v4_clean,14,2
4,3,pred_disponible_E7_v3_clean,14,2
4,4,cobertura_modelos_fila,15,3
4,4,consenso_direccion,15,2
4,4,desacuerdo_direccion,15,2
4,4,desviacion_predicciones,15,14
4,4,dispersion_direccion,15,4
4,4,fila_completa_modelos_incluidos,15,2
4,4,max_diff_predicciones,15,14
4,4,max_predicciones,15,15
4,4,mediana_predicciones,15,15
4,4,min_predicciones,15,15
4,4,n_direcciones_distintas,15,2
4,4,n_modelos_disponibles,15,3
4,4,numero_modelos_predicen_caida,15,5
4,4,promedio_predicciones,15,15
4,4,rango_predicciones,15,14
4,4,share_modelos_predicen_caida,15,6
4,4,ctx_abs_delta_1w,15,15
4,4,ctx_delta_1w,15,15
4,4,ctx_delta_2w,15,15
4,4,ctx_mean_delta_4w,15,15
4,4,ctx_negative_delta_ratio_4w,15,2
4,4,ctx_positive_delta_ratio_4w,15,2
4,4,ctx_recent_fall_flag,15,2
4,4,ctx_rolling_mean_4w,15,15
4,4,ctx_rolling_std_4w,15,15
4,4,ctx_sentimiento_medios,15,15
4,4,ctx_trend_vs_ma4,15,15
4,4,ctx_v5_dispersion_neta,15,15
4,4,ctx_v5_promedio_neto,15,15
4,4,ctx_y_lag1,15,15
4,4,ctx_y_lag2,15,15
4,4,ctx_y_lag4,15,15
4,4,hist_abs_error_mean4_E1_v5_clean,12,12
4,4,hist_abs_error_mean4_E2_v3_clean,14,14
4,4,hist_abs_error_mean4_E3_v2_clean,12,12
4,4,hist_abs_error_mean4_E5_v4_clean,12,12
4,4,hist_abs_error_mean4_E7_v3_clean,12,12
4,4,hist_caida_hit_mean4_E1_v5_clean,9,3
4,4,hist_caida_hit_mean4_E3_v2_clean,9,3
4,4,hist_caida_hit_mean4_E5_v4_clean,9,3
4,4,hist_caida_hit_mean4_E7_v3_clean,9,2
4,4,hist_dir_acc_mean4_E1_v5_clean,12,4
4,4,hist_dir_acc_mean4_E2_v3_clean,14,4
4,4,hist_dir_acc_mean4_E3_v2_clean,12,5
4,4,hist_dir_acc_mean4_E5_v4_clean,12,4
4,4,hist_dir_acc_mean4_E7_v3_clean,12,5
4,4,hist_loss_local_mean4_E1_v5_clean,12,12
4,4,hist_loss_local_mean4_E2_v3_clean,14,14
4,4,hist_loss_local_mean4_E3_v2_clean,12,12
4,4,hist_loss_local_mean4_E5_v4_clean,12,12
4,4,hist_loss_local_mean4_E7_v3_clean,12,12
4,4,y_current,15,15
4,4,caida_pred_E1_v5_clean,13,2
4,4,caida_pred_E2_v3_clean,15,2
4,4,caida_pred_E3_v2_clean,13,2
4,4,caida_pred_E5_v4_clean,13,2
4,4,caida_pred_E7_v3_clean,13,2
4,4,direccion_pred_E1_v5_clean,13,2
4,4,direccion_pred_E2_v3_clean,15,2
4,4,direccion_pred_E3_v2_clean,13,2
4,4,direccion_pred_E5_v4_clean,13,2
4,4,direccion_pred_E7_v3_clean,13,2
4,4,pred_E1_v5_clean,13,13
4,4,pred_E2_v3_clean,15,15
4,4,pred_E3_v2_clean,13,13
4,4,pred_E5_v4_clean,13,13
4,4,pred_E7_v3_clean,13,13
4,4,pred_disponible_E1_v5_clean,15,2
4,4,pred_disponible_E3_v2_clean,15,2
4,4,pred_disponible_E5_v4_clean,15,2
4,4,pred_disponible_E7_v3_clean,15,2
4,4,pred_disponible_E9_v2_clean,15,2
4,5,cobertura_modelos_fila,16,3
4,5,consenso_direccion,16,2
4,5,desacuerdo_direccion,16,2
4,5,desviacion_predicciones,16,15
4,5,dispersion_direccion,16,5
4,5,fila_completa_modelos_incluidos,16,2
4,5,max_diff_predicciones,16,15
4,5,max_predicciones,16,16
4,5,mediana_predicciones,16,16
4,5,min_predicciones,16,16
4,5,n_direcciones_distintas,16,2
4,5,n_modelos_disponibles,16,3
4,5,numero_modelos_predicen_caida,16,6
4,5,promedio_predicciones,16,16
4,5,rango_predicciones,16,15
4,5,share_modelos_predicen_caida,16,6
4,5,ctx_abs_delta_1w,16,16
4,5,ctx_delta_1w,16,16
4,5,ctx_delta_2w,16,16
4,5,ctx_mean_delta_4w,16,16
4,5,ctx_negative_delta_ratio_4w,16,2
4,5,ctx_positive_delta_ratio_4w,16,2
4,5,ctx_recent_fall_flag,16,2
4,5,ctx_rolling_mean_4w,16,16
4,5,ctx_rolling_std_4w,16,16
4,5,ctx_sentimiento_medios,16,16
4,5,ctx_trend_vs_ma4,16,16
4,5,ctx_v5_dispersion_neta,16,16
4,5,ctx_v5_promedio_neto,16,16
4,5,ctx_y_lag1,16,16
4,5,ctx_y_lag2,16,16
4,5,ctx_y_lag4,16,16
4,5,hist_abs_error_mean4_E1_v5_clean,13,13
4,5,hist_abs_error_mean4_E2_v3_clean,15,15
4,5,hist_abs_error_mean4_E3_v2_clean,13,13
4,5,hist_abs_error_mean4_E5_v4_clean,13,13
4,5,hist_abs_error_mean4_E7_v3_clean,13,13
4,5,hist_caida_hit_mean4_E1_v5_clean,10,3
4,5,hist_caida_hit_mean4_E3_v2_clean,10,3
4,5,hist_caida_hit_mean4_E5_v4_clean,10,3
4,5,hist_caida_hit_mean4_E7_v3_clean,10,2
4,5,hist_dir_acc_mean4_E1_v5_clean,13,4
4,5,hist_dir_acc_mean4_E2_v3_clean,15,4
4,5,hist_dir_acc_mean4_E3_v2_clean,13,5
4,5,hist_dir_acc_mean4_E5_v4_clean,13,4
4,5,hist_dir_acc_mean4_E7_v3_clean,13,5
4,5,hist_loss_local_mean4_E1_v5_clean,13,13
4,5,hist_loss_local_mean4_E2_v3_clean,15,15
4,5,hist_loss_local_mean4_E3_v2_clean,13,13
4,5,hist_loss_local_mean4_E5_v4_clean,13,13
4,5,hist_loss_local_mean4_E7_v3_clean,13,13
4,5,y_current,16,16
4,5,caida_pred_E1_v5_clean,14,2
4,5,caida_pred_E2_v3_clean,16,2
4,5,caida_pred_E3_v2_clean,14,2
4,5,caida_pred_E5_v4_clean,14,2
4,5,caida_pred_E7_v3_clean,14,2
4,5,direccion_pred_E1_v5_clean,14,2
4,5,direccion_pred_E2_v3_clean,16,2
4,5,direccion_pred_E3_v2_clean,14,2
4,5,direccion_pred_E5_v4_clean,14,2
4,5,direccion_pred_E7_v3_clean,14,2
4,5,pred_E1_v5_clean,14,14
4,5,pred_E2_v3_clean,16,16
4,5,pred_E3_v2_clean,14,14
4,5,pred_E5_v4_clean,14,14
4,5,pred_E7_v3_clean,14,14
4,5,pred_E9_v2_clean,2,2
4,5,pred_disponible_E1_v5_clean,16,2
4,5,pred_disponible_E3_v2_clean,16,2
4,5,pred_disponible_E5_v4_clean,16,2
4,5,pred_disponible_E7_v3_clean,16,2
4,5,pred_disponible_E9_v2_clean,16,2
4,6,cobertura_modelos_fila,17,3
4,6,consenso_direccion,17,2
4,6,desacuerdo_direccion,17,2
4,6,desviacion_predicciones,17,16
4,6,dispersion_direccion,17,5
4,6,fila_completa_modelos_incluidos,17,2
4,6,max_diff_predicciones,17,16
4,6,max_predicciones,17,17
4,6,mediana_predicciones,17,17
4,6,min_predicciones,17,17
4,6,n_direcciones_distintas,17,2
4,6,n_modelos_disponibles,17,3
4,6,numero_modelos_predicen_caida,17,6
4,6,promedio_predicciones,17,17
4,6,rango_predicciones,17,16
4,6,share_modelos_predicen_caida,17,7
4,6,ctx_abs_delta_1w,17,17
4,6,ctx_delta_1w,17,17
4,6,ctx_delta_2w,17,17
4,6,ctx_mean_delta_4w,17,17
4,6,ctx_negative_delta_ratio_4w,17,2
4,6,ctx_positive_delta_ratio_4w,17,2
4,6,ctx_recent_fall_flag,17,2
4,6,ctx_rolling_mean_4w,17,17
4,6,ctx_rolling_std_4w,17,17
4,6,ctx_sentimiento_medios,17,17
4,6,ctx_trend_vs_ma4,17,17
4,6,ctx_v5_dispersion_neta,17,17
4,6,ctx_v5_promedio_neto,17,17
4,6,ctx_y_lag1,17,17
4,6,ctx_y_lag2,17,17
4,6,ctx_y_lag4,17,17
4,6,hist_abs_error_mean4_E1_v5_clean,14,14
4,6,hist_abs_error_mean4_E2_v3_clean,16,16
4,6,hist_abs_error_mean4_E3_v2_clean,14,14
4,6,hist_abs_error_mean4_E5_v4_clean,14,14
4,6,hist_abs_error_mean4_E7_v3_clean,14,14
4,6,hist_abs_error_mean4_E9_v2_clean,2,2
4,6,hist_caida_hit_mean4_E1_v5_clean,11,3
4,6,hist_caida_hit_mean4_E3_v2_clean,11,3
4,6,hist_caida_hit_mean4_E5_v4_clean,11,3
4,6,hist_caida_hit_mean4_E7_v3_clean,11,2
4,6,hist_dir_acc_mean4_E1_v5_clean,14,4
4,6,hist_dir_acc_mean4_E2_v3_clean,16,4
4,6,hist_dir_acc_mean4_E3_v2_clean,14,5
4,6,hist_dir_acc_mean4_E5_v4_clean,14,4
4,6,hist_dir_acc_mean4_E7_v3_clean,14,5
4,6,hist_dir_acc_mean4_E9_v2_clean,2,2
4,6,hist_loss_local_mean4_E1_v5_clean,14,14
4,6,hist_loss_local_mean4_E2_v3_clean,16,16
4,6,hist_loss_local_mean4_E3_v2_clean,14,14
4,6,hist_loss_local_mean4_E5_v4_clean,14,14
4,6,hist_loss_local_mean4_E7_v3_clean,14,14
4,6,hist_loss_local_mean4_E9_v2_clean,2,2
4,6,y_current,17,17
4,6,caida_pred_E1_v5_clean,15,2
4,6,caida_pred_E2_v3_clean,17,2
4,6,caida_pred_E3_v2_clean,15,2
4,6,caida_pred_E5_v4_clean,15,2
4,6,caida_pred_E7_v3_clean,15,2
4,6,caida_pred_E9_v2_clean,3,2
4,6,direccion_pred_E1_v5_clean,15,2
4,6,direccion_pred_E2_v3_clean,17,2
4,6,direccion_pred_E3_v2_clean,15,2
4,6,direccion_pred_E5_v4_clean,15,2
4,6,direccion_pred_E7_v3_clean,15,2
4,6,direccion_pred_E9_v2_clean,3,2
4,6,pred_E1_v5_clean,15,15
4,6,pred_E2_v3_clean,17,17
4,6,pred_E3_v2_clean,15,15
4,6,pred_E5_v4_clean,15,15
4,6,pred_E7_v3_clean,15,15
4,6,pred_E9_v2_clean,3,3
4,6,pred_disponible_E1_v5_clean,17,2
4,6,pred_disponible_E3_v2_clean,17,2
4,6,pred_disponible_E5_v4_clean,17,2
4,6,pred_disponible_E7_v3_clean,17,2
4,6,pred_disponible_E9_v2_clean,17,2
4,7,cobertura_modelos_fila,18,3
4,7,consenso_direccion,18,2
4,7,desacuerdo_direccion,18,2
4,7,desviacion_predicciones,18,17
4,7,dispersion_direccion,18,5
4,7,fila_completa_modelos_incluidos,18,2
4,7,max_diff_predicciones,18,17
4,7,max_predicciones,18,18
4,7,mediana_predicciones,18,18
4,7,min_predicciones,18,18
4,7,n_direcciones_distintas,18,2
4,7,n_modelos_disponibles,18,3
4,7,numero_modelos_predicen_caida,18,6
4,7,promedio_predicciones,18,18
4,7,rango_predicciones,18,17
4,7,share_modelos_predicen_caida,18,7
4,7,ctx_abs_delta_1w,18,18
4,7,ctx_delta_1w,18,18
4,7,ctx_delta_2w,18,18
4,7,ctx_mean_delta_4w,18,18
4,7,ctx_negative_delta_ratio_4w,18,2
4,7,ctx_positive_delta_ratio_4w,18,2
4,7,ctx_recent_fall_flag,18,2
4,7,ctx_rolling_mean_4w,18,18
4,7,ctx_rolling_std_4w,18,18
4,7,ctx_sentimiento_medios,18,18
4,7,ctx_trend_vs_ma4,18,18
4,7,ctx_v5_dispersion_neta,18,18
4,7,ctx_v5_promedio_neto,18,18
4,7,ctx_y_lag1,18,18
4,7,ctx_y_lag2,18,18
4,7,ctx_y_lag4,18,18
4,7,hist_abs_error_mean4_E1_v5_clean,15,15
4,7,hist_abs_error_mean4_E2_v3_clean,17,17
4,7,hist_abs_error_mean4_E3_v2_clean,15,15
4,7,hist_abs_error_mean4_E5_v4_clean,15,15
4,7,hist_abs_error_mean4_E7_v3_clean,15,15
4,7,hist_abs_error_mean4_E9_v2_clean,3,3
4,7,hist_caida_hit_mean4_E1_v5_clean,12,3
4,7,hist_caida_hit_mean4_E3_v2_clean,12,3
4,7,hist_caida_hit_mean4_E5_v4_clean,12,3
4,7,hist_caida_hit_mean4_E7_v3_clean,12,2
4,7,hist_dir_acc_mean4_E1_v5_clean,15,4
4,7,hist_dir_acc_mean4_E2_v3_clean,17,4
4,7,hist_dir_acc_mean4_E3_v2_clean,15,5
4,7,hist_dir_acc_mean4_E5_v4_clean,15,4
4,7,hist_dir_acc_mean4_E7_v3_clean,15,5
4,7,hist_dir_acc_mean4_E9_v2_clean,3,3
4,7,hist_loss_local_mean4_E1_v5_clean,15,15
4,7,hist_loss_local_mean4_E2_v3_clean,17,17
4,7,hist_loss_local_mean4_E3_v2_clean,15,15
4,7,hist_loss_local_mean4_E5_v4_clean,15,15
4,7,hist_loss_local_mean4_E7_v3_clean,15,15
4,7,hist_loss_local_mean4_E9_v2_clean,3,3
4,7,y_current,18,18
4,7,caida_pred_E1_v5_clean,16,2
4,7,caida_pred_E2_v3_clean,18,2
4,7,caida_pred_E3_v2_clean,16,2
4,7,caida_pred_E5_v4_clean,16,2
4,7,caida_pred_E7_v3_clean,16,2
4,7,caida_pred_E9_v2_clean,4,2
4,7,direccion_pred_E1_v5_clean,16,2
4,7,direccion_pred_E2_v3_clean,18,2
4,7,direccion_pred_E3_v2_clean,16,2
4,7,direccion_pred_E5_v4_clean,16,2
4,7,direccion_pred_E7_v3_clean,16,2
4,7,direccion_pred_E9_v2_clean,4,2
4,7,pred_E1_v5_clean,16,16
4,7,pred_E2_v3_clean,18,18
4,7,pred_E3_v2_clean,16,16
4,7,pred_E5_v4_clean,16,16
4,7,pred_E7_v3_clean,16,16
4,7,pred_E9_v2_clean,4,4
4,7,pred_disponible_E1_v5_clean,18,2
4,7,pred_disponible_E3_v2_clean,18,2
4,7,pred_disponible_E5_v4_clean,18,2
4,7,pred_disponible_E7_v3_clean,18,2
4,7,pred_disponible_E9_v2_clean,18,2
4,8,cobertura_modelos_fila,19,3
4,8,consenso_direccion,19,2
4,8,desacuerdo_direccion,19,2
4,8,desviacion_predicciones,19,18
4,8,dispersion_direccion,19,5
4,8,fila_completa_modelos_incluidos,19,2
4,8,max_diff_predicciones,19,18
4,8,max_predicciones,19,19
4,8,mediana_predicciones,19,19
4,8,min_predicciones,19,19
4,8,n_direcciones_distintas,19,2
4,8,n_modelos_disponibles,19,3
4,8,numero_modelos_predicen_caida,19,6
4,8,promedio_predicciones,19,19
4,8,rango_predicciones,19,18
4,8,share_modelos_predicen_caida,19,7
4,8,ctx_abs_delta_1w,19,19
4,8,ctx_delta_1w,19,19
4,8,ctx_delta_2w,19,19
4,8,ctx_mean_delta_4w,19,19
4,8,ctx_negative_delta_ratio_4w,19,2
4,8,ctx_positive_delta_ratio_4w,19,2
4,8,ctx_recent_fall_flag,19,2
4,8,ctx_rolling_mean_4w,19,19
4,8,ctx_rolling_std_4w,19,19
4,8,ctx_sentimiento_medios,19,19
4,8,ctx_trend_vs_ma4,19,19
4,8,ctx_v5_dispersion_neta,19,19
4,8,ctx_v5_promedio_neto,19,19
4,8,ctx_y_lag1,19,19
4,8,ctx_y_lag2,19,19
4,8,ctx_y_lag4,19,19
4,8,hist_abs_error_mean4_E1_v5_clean,16,16
4,8,hist_abs_error_mean4_E2_v3_clean,18,18
4,8,hist_abs_error_mean4_E3_v2_clean,16,16
4,8,hist_abs_error_mean4_E5_v4_clean,16,16
4,8,hist_abs_error_mean4_E7_v3_clean,16,16
4,8,hist_abs_error_mean4_E9_v2_clean,4,4
4,8,hist_caida_hit_mean4_E1_v5_clean,13,3
4,8,hist_caida_hit_mean4_E3_v2_clean,13,3
4,8,hist_caida_hit_mean4_E5_v4_clean,13,3
4,8,hist_caida_hit_mean4_E7_v3_clean,13,3
4,8,hist_dir_acc_mean4_E1_v5_clean,16,4
4,8,hist_dir_acc_mean4_E2_v3_clean,18,4
4,8,hist_dir_acc_mean4_E3_v2_clean,16,5
4,8,hist_dir_acc_mean4_E5_v4_clean,16,4
4,8,hist_dir_acc_mean4_E7_v3_clean,16,5
4,8,hist_dir_acc_mean4_E9_v2_clean,4,4
4,8,hist_loss_local_mean4_E1_v5_clean,16,16
4,8,hist_loss_local_mean4_E2_v3_clean,18,18
4,8,hist_loss_local_mean4_E3_v2_clean,16,16
4,8,hist_loss_local_mean4_E5_v4_clean,16,16
4,8,hist_loss_local_mean4_E7_v3_clean,16,16
4,8,hist_loss_local_mean4_E9_v2_clean,4,4
4,8,y_current,19,19
4,8,caida_pred_E1_v5_clean,17,2
4,8,caida_pred_E2_v3_clean,19,2
4,8,caida_pred_E3_v2_clean,17,2
4,8,caida_pred_E5_v4_clean,17,2
4,8,caida_pred_E7_v3_clean,17,2
4,8,caida_pred_E9_v2_clean,5,2
4,8,direccion_pred_E1_v5_clean,17,2
4,8,direccion_pred_E2_v3_clean,19,2
4,8,direccion_pred_E3_v2_clean,17,2
4,8,direccion_pred_E5_v4_clean,17,2
4,8,direccion_pred_E7_v3_clean,17,2
4,8,direccion_pred_E9_v2_clean,5,2
4,8,pred_E1_v5_clean,17,17
4,8,pred_E2_v3_clean,19,19
4,8,pred_E3_v2_clean,17,17
4,8,pred_E5_v4_clean,17,17
4,8,pred_E7_v3_clean,17,17
4,8,pred_E9_v2_clean,5,5
4,8,pred_disponible_E1_v5_clean,19,2
4,8,pred_disponible_E3_v2_clean,19,2
4,8,pred_disponible_E5_v4_clean,19,2
4,8,pred_disponible_E7_v3_clean,19,2
4,8,pred_disponible_E9_v2_clean,19,2
4,9,cobertura_modelos_fila,20,3
4,9,consenso_direccion,20,2
4,9,desacuerdo_direccion,20,2
4,9,desviacion_predicciones,20,19
4,9,dispersion_direccion,20,5
4,9,fila_completa_modelos_incluidos,20,2
4,9,max_diff_predicciones,20,19
4,9,max_predicciones,20,20
4,9,mediana_predicciones,20,20
4,9,min_predicciones,20,20
4,9,n_direcciones_distintas,20,2
4,9,n_modelos_disponibles,20,3
4,9,numero_modelos_predicen_caida,20,6
4,9,promedio_predicciones,20,20
4,9,rango_predicciones,20,19
4,9,share_modelos_predicen_caida,20,7
4,9,ctx_abs_delta_1w,20,20
4,9,ctx_delta_1w,20,20
4,9,ctx_delta_2w,20,20
